Depth,Plot,Treatment,Block,Species,Year,Total,Exotic,Native,PC1CWM,PC2CWM
Deep,52,Random,4,2,2011,253.86,162.5,91.35666667,0.1537521,2.2600118
Deep,53,Random,4,5,2011,338.16,237.74,100.4216667,-0.507074271,1.071086111
Deep,54,Random,4,8,2011,280.64,42.66,237.985,-0.2441783,-0.5024353
Deep,55,Random,4,12,2011,642.03,577.17,64.86666667,0.64103911,0.69196702
Medium,67,Random,5,2,2011,269.98,226.86,43.12333333,0.07,0.02
Medium,68,Random,5,5,2011,449.43,407.85,41.585,0.035415154,-0.276252863
Medium,69,Random,5,8,2011,506.11,169.26,336.8483333,2.321243812,-1.36898889
Medium,70,Random,5,12,2011,394.38,238.11,156.2733333,-1.9122868,-0.6860373
Deep,81,Random,6,16,2011,434.88,80.67,354.215,-0.119490595,-0.277818378
Deep,82,Random,6,2,2011,412.23,122.91,289.3166667,0.4220297,-0.6193734
Deep,83,Random,6,5,2011,345.07,280.84,64.22666667,-0.5807361,1.6165576
Deep,84,Random,6,8,2011,338.47,148.88,189.595,-0.3034434,0.7638302
Deep,85,Random,6,12,2011,437.05,153.52,283.5316667,0.3339823,-0.8695191
Medium,97,Random,7,2,2011,338.11,207.81,130.3016667,-0.6,0.17
Medium,98,Random,7,5,2011,390.66,127.17,263.4933333,0.6081415,-0.8870346
Medium,99,Random,7,8,2011,359.03,51.62,307.41,0.362717546,-0.265401592
Medium,100,Random,7,12,2011,261.4,83.1,178.295,0.0925719,0.2218874
Shallow,112,Random,8,2,2011,512.89,178.57,334.3216667,0.0112072,-0.5835282
Shallow,113,Random,8,5,2011,447.46,222.51,224.9533333,-0.0164304,-0.4579584
Shallow,114,Random,8,8,2011,911.96,36.18,875.7783333,1.942214478,-1.151556384
Shallow,115,Random,8,12,2011,325.53,214.61,110.9283333,0.115723543,0.216229638
Deep,126,Random,9,16,2011,601.7,200.21,401.4966667,0.0526499,-0.5407266
Deep,127,Random,9,2,2011,745.52,317.17,428.35,2.8902496,-1.6583464
Deep,128,Random,9,5,2011,397.92,164.17,233.75,1.6950357,-1.1520695
Deep,129,Random,9,8,2011,310.5,28.98,281.52,-0.2348135,-0.1173583
Deep,130,Random,9,12,2011,277.41,95.53,181.875,0.256738267,-0.912483025
Shallow,6,Random,1,16,2012,408.92239,80.10461,328.81778,1.2742578,-1.0195206
Shallow,7,Random,1,2,2012,178.77569,91.14342,87.63226,1.2408784,-0.6062224
Shallow,8,Random,1,5,2012,143.24503,68.51848,74.72655,-0.3500344,-0.5437621
Shallow,9,Random,1,8,2012,236.43788,49.52091,186.91697,-0.1861769,0.1402595
Shallow,10,Random,1,12,2012,299.36252,4.49055,294.87197,-0.773235032,0.048327983
Medium,21,Random,2,16,2012,245.98752,6.18874,239.79878,-0.5605112,0.2090418
Medium,22,Random,2,2,2012,147.05508,65.27511,81.77997,-0.0587885,1.5483663
Medium,23,Random,2,5,2012,235.43516,67.39047,168.04469,-1.452755328,1.255076951
Medium,24,Random,2,8,2012,280.22935,31.50103,248.72832,-0.7416721,0.8592565
Medium,25,Random,2,12,2012,270.19387,28.84279,241.35108,-0.301331073,-0.093159537
Shallow,37,Random,3,2,2012,323.23156,87.43619,235.79537,-0.4823078,0.0769002
Shallow,38,Random,3,5,2012,288.24252,34.64314,253.59938,-1.6493477,-0.3069834
Shallow,39,Random,3,8,2012,311.08007,98.67001,212.41006,-0.2578393,-0.5891661
Shallow,40,Random,3,12,2012,252.54515,45.44928,207.09588,-0.457420874,0.021836318
Deep,52,Random,4,2,2012,394.03504,297.54427,96.49077,-0.9697599,0.7755158
Deep,53,Random,4,5,2012,274.28656,40.13202,234.15454,-0.889922201,0.35096999
Deep,54,Random,4,8,2012,390.12783,109.90349,280.22433,0.073858739,-0.711674717
Deep,55,Random,4,12,2012,248.53205,102.26676,146.26529,-0.892128179,0.029740503
Medium,67,Random,5,2,2012,264.71373,97.71731,166.99641,0.07,0.02
Medium,68,Random,5,5,2012,241.17453,103.90386,137.27067,-0.2886521,-0.4435017
Medium,69,Random,5,8,2012,445.21803,147.47007,297.74796,2.4204999,-1.4600423
Medium,70,Random,5,12,2012,472.89173,98.3763,374.51543,1.507685877,-1.35101271
Deep,81,Random,6,16,2012,265.89664,75.02611,190.87052,-1.17599058,0.139356613
Deep,82,Random,6,2,2012,205.74684,112.22348,93.52337,-0.4635979,-0.9538062
